Date,NetPnL,TradesOpened
2023-01-23,-84.82,3
2023-01-24,29.20,1
2023-01-25,-105.86,1
2023-01-26,166.90,2
2023-01-30,-256.36,3
2023-01-31,-73.65,1
2023-02-01,763.12,4
2023-02-02,-305.39,5
2023-02-03,-319.85,3
2023-02-06,324.12,4
2023-02-07,427.06,2
2023-02-09,239.12,4
2023-02-10,25.26,1
2023-02-13,693.44,4
2023-02-14,-62.85,3
2023-02-15,130.00,3
2023-02-16,-636.49,3
2023-02-17,-52.96,1
2023-02-20,-697.93,5
2023-02-21,-489.44,4
2023-02-22,162.67,3
2023-02-23,149.82,3
2023-02-24,783.30,3
2023-02-27,371.39,7
2023-02-28,387.54,1
2023-03-01,-203.43,3
2023-03-02,-252.41,3
2023-03-03,-402.33,3
2023-03-06,-143.52,2
2023-03-07,-2.32,5
2023-03-08,20.64,1
2023-03-09,-103.22,2
2023-03-10,-235.17,2
2023-03-13,709.30,2
2023-03-14,-444.12,3
2023-03-15,-47.84,1
2023-03-16,-103.94,2
2023-03-17,-97.89,2
2023-03-20,-363.49,2
2023-03-21,1186.84,8
2023-03-22,-173.81,3
2023-03-23,300.45,4
2023-03-24,-118.37,3
2023-03-29,107.59,4
2023-03-30,-220.75,6
2023-03-31,-248.58,2
2023-04-03,-113.08,1
2023-04-04,413.77,10
2023-04-05,-269.04,2
2023-04-06,-230.29,2
2023-04-10,108.26,1
2023-04-11,-296.65,1
2023-04-12,-96.78,1
2023-04-13,29.66,1
2023-04-14,-104.99,2
2023-04-17,158.79,3
2023-04-18,-473.86,2
2023-04-19,2.57,4
2023-04-20,75.81,5
2023-04-21,38.56,1
2023-04-24,153.00,3
2023-04-25,374.93,1
2023-04-26,452.67,2
2023-04-27,-181.23,2
2023-04-28,380.00,3
2023-05-01,528.80,2
2023-05-02,203.41,2
2023-05-03,281.62,3
2023-05-04,-47.90,1
2023-05-08,-273.00,4
2023-05-09,-372.51,5
2023-05-10,804.72,3
2023-05-11,509.44,6
2023-05-12,-312.16,3
2023-05-15,-538.67,5
2023-05-16,746.23,6
2023-05-17,26.96,1
